ID,A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4,eI,eII,eIII
0,-0.27900635,-0.35825318,-0.1875,-0.32475953,0.234375,-0.14981964,-0.203125,-0.35182282,-0.55145219,-0.06926582,0.12890625,-0.26386712,10.36107272,-1.170047208,-2.238989481
1,0.29575318,-0.07924682,-0.375,-0.21650635,0.23631806,-0.42606171,0.125,0.10825318,0.30892922,0.33236672,-0.3046875,-0.25710129,4.707334655,-0.614335256,-1.707908992
2,-0.17075318,-0.04575318,0.125,-0.21650635,0.00306488,-0.18219147,0.03125,-0.05412659,-0.01067207,-0.00285957,0.3828125,-0.6630507,4.80626334,-0.920770551,-1.048737967
3,0.02900635,0.35825318,-0.3125,-0.10825318,0.05300476,-0.20618988,0.296875,0.40594941,0.10475754,0.44426582,-0.34765625,0.15561394,5.865467113,-0.888383556,-1.096542202
4,0.15400635,-0.35825318,-0.0625,-0.10825318,-0.35713135,0.47069306,-0.046875,0.56832917,0.53107957,-0.03495094,0.27734375,-0.25033547,5.529025782,-0.956651512,-1.022756505
5,0.10825318,0.52900635,-0.1875,-0.10825318,-0.07506012,-0.37387818,0.578125,-0.02706329,-0.25732674,0.61272034,-0.29296875,-0.08795571,5.326793356,-0.191981504,-1.342694828
6,0.10825318,-0.15400635,0.0625,-0.10825318,-0.61856964,0.33425476,-0.328125,0.13531647,0.16286553,-0.04562302,0.07421875,-0.45331017,5.202279295,-0.882708889,-1.102820147
7,-0.04575318,-0.07924682,0.5,0.4330127,-0.43832123,-0.29268829,0,-0.10825318,-0.15895928,-0.16901543,0.5234375,0.71717729,4.873683822,-0.132208549,-1.231015762
8,0.3125,0.32475953,-0.1875,0.10825318,-0.08425476,0.27093353,0.046875,-0.02706329,0.44600357,0.46852456,-0.29296875,0.16914559,4.816889012,-0.877681918,-0.93714454
9,-0.34150635,0.125,0.375,-0.4330127,0.19362976,0.01450318,-0.15625,0.32475953,-0.69766617,0.31709732,0.5625,-0.230038,5.616369473,-0.719001772,-1.204950977
10,0.14174682,-0.0625,0.3125,-0.32475953,-0.710076,0.45088135,-0.046875,0.02706329,0.05909965,0.10240387,0.44140625,-0.50743676,5.451762136,-0.455388457,-1.307910335
11,-0.48325318,0.15400635,0.0625,0.10825318,0.38307282,-0.06750794,-0.015625,0.29769623,-0.21770332,0.09081528,0.09765625,0.41271523,12.75095679,-0.921480935,-2.94596792
12,-0.03349365,0,-0.125,-0.4330127,0.01450318,0.11438294,0.40625,-0.32475953,-0.45368591,0.14522232,-0.2421875,-0.18944306,5.458478455,-0.859687786,-1.332597685
13,0.14174682,-0.0625,-0.0625,-0.10825318,-0.07894623,0.13225159,0.671875,0.18944306,0.16832435,-0.21484375,-0.02734375,0.03382912,5.311033172,-0.263779308,-1.222922655
14,0.07924682,0.04575318,0.375,-0.21650635,0.01981171,0.26143829,0.53125,0.27063294,-0.00760719,-0.32526543,0.3046875,-0.17591141,3.888701172,-0.258666444,-0.940467769
15,-0.42075318,0.26225953,-0.375,-0.4330127,-0.29881806,-0.12806488,0.59375,-0.10825318,-0.43392922,0.29136116,-0.234375,-0.31122788,18.28546372,-0.498791196,-4.590587137
16,0.3125,0.35825318,-0.5625,0.10825318,0.171875,0.03543671,0.140625,-0.02706329,0.23046875,-0.146269,-0.76171875,-0.115019,4.966435718,-0.734890934,-1.681048326
17,-0.29575318,-0.60376588,-0.5,0.4330127,-0.15094147,0.08619782,0.03125,0.16237976,-0.1168319,-0.83584222,-0.5,0.10825318,10.331488,-1.3468712,-2.360063544
18,0.59150635,0,0.125,-0.21650635,0.11662659,0.34987976,0.0625,0.64951905,0.61326111,-0.05147232,-0.0390625,-0.09472153,2.999477983,-0.365505,-1.144370352
19,-0.10825318,0.0625,-0.1875,-0.10825318,0.10406647,0.08425476,0.390625,0.08118988,0.15269935,-0.30997589,0.24609375,-0.12855065,5.871958952,-0.52295685,-1.245071619
20,-0.01225953,-0.17075318,0.125,-0.4330127,0.03431488,-0.10743194,-0.125,0.27063294,0.16497902,-0.44174172,-0.1328125,-0.4330127,4.516764383,-0.8489533,-0.952670539
21,-0.04575318,-0.29575318,-0.25,0.21650635,0.19893829,0.36969147,-0.0625,0.27063294,0.20807793,-0.34032951,-0.5546875,0.05412659,5.550650798,-0.681259744,-1.352686651
22,-0.10825318,0.40400635,-0.1875,-0.54126588,0.32894623,-0.5111377,0.046875,-0.29769623,0.302519,0.16419266,-0.08203125,-0.3179937,8.209246673,-0.80310123,-1.680444081
23,0.02900635,-0.10825318,0.0625,-0.10825318,0.296875,0.22906647,-0.421875,0.18944306,0.37176469,-0.119356,0.35546875,-0.37212029,4.52170026,-0.233864783,-1.114490761
24,0.22099365,-0.23325318,0.0625,-0.10825318,-0.05524841,-0.31668671,-0.265625,0.24356964,0.10924484,-0.61430779,-0.34765625,-0.45331017,3.333274241,-0.528248033,-0.741013799
25,-0.23325318,-0.1875,-0.1875,0.10825318,0.28319306,0.43637818,-0.421875,-0.29769623,-0.32846047,-0.11174881,-0.41015625,0.20974053,8.189636635,-0.627403626,-1.759471207
