ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
0,-0.125,-0.125,0.25,-0.09375,0.15625,0.9375,-0.1953125,-0.1953125,0.015625,-0.018818952,5.954135486,-1.511842431,-0.753484464,1.102959623,0.00091879,6.018032446,-0.041680666,-1.552877677
1,-0.125,-0.125,0.75,-0.21875,-0.21875,-0.4375,-0.2890625,-0.2890625,0.421875,0.784109416,2.590635995,-0.869544758,3.368086109,-0.311622234,-0.232930148,3.741118813,-0.469334326,-0.874372191
2,-0.125,0.125,-0.25,0.09375,0.15625,-0.5625,-0.2421875,-0.2265625,-0.296875,-0.261329702,7.931063883,-1.955270596,-1.264160055,-1.344601587,0.319334686,7.16303534,-0.643265904,-1.530843281
3,-0.125,0.125,0.75,-0.28125,0.15625,-0.3125,-0.4296875,0.1484375,0.703125,-0.164791326,5.176772611,-1.331889843,-0.753928762,0.351509955,-0.179648014,5.208288688,-0.186077192,-1.342120054
4,-0.375,0.125,0.25,0.53125,-0.21875,-0.4375,-0.3046875,-0.1796875,0.203125,-0.094200009,11.59579799,-3.039761993,1.127952019,-1.398225068,0.064592441,10.50291742,-0.176153915,-2.586079682
5,-0.125,0.125,0.25,-0.03125,0.28125,0.3125,0.3671875,-0.0859375,0.015625,5.437498039,-0.523310136,-1.105291287,0.67916947,-0.034313916,-1.040500101,5.497793185,-0.54234228,-1.146554289
6,-0.25,-0.25,0.5,0.125,-0.125,-0.25,-0.625,-0.34375,0.3125,-0.056541716,3.860154538,-0.985330007,-2.058801983,-0.389361132,0.034491067,3.93562194,-0.346169104,-0.904113594
7,-0.25,0,0,0.3125,0,-0.5,-0.484375,0.1875,0,-0.116051242,8.549172562,-2.186226952,-0.542910338,-1.164402875,0.111127119,7.742632511,-0.242666516,-1.830068633
8,-0.125,-0.125,0.25,0.09375,0.21875,-0.4375,-0.2890625,-0.0078125,-0.171875,-0.083539738,4.883226939,-1.208428415,-1.353755724,-0.911805246,0.094083371,4.532866453,-0.360089219,-0.980222661
9,0,0,0,0.125,-0.25,1,0.1875,0.375,0,5.610856679,0.037077407,-1.31923392,-0.030743476,0.041659569,-2.171327687,5.777013758,0.037237895,-1.485551487
10,-0.375,-0.125,0.25,0.21875,0.03125,-0.3125,-0.7265625,-0.1484375,0.484375,-0.109268126,6.569380712,-1.659256172,-2.021115724,-0.889206049,0.077595746,6.255662598,-0.332189674,-1.457416561
11,0.125,0.125,-0.25,0.09375,-0.53125,-0.1875,-0.0390625,0.2421875,-0.859375,2.822563547,2.096759468,-1.164280839,-6.97313355,-0.477245176,0.524389216,5.558718664,-0.986052821,-1.037627725
12,0.125,-0.125,0.25,0.09375,0.15625,-0.3125,0.1484375,-0.4296875,-0.453125,0.821198428,2.581453482,-0.809128624,4.135903873,0.507232521,0.791091661,3.6614411,-0.405858761,-0.854206799
13,0,-0.25,0,-0.4375,-0.5,-0.375,0.28125,-0.296875,-0.1875,0.856984461,3.490059898,-1.050697163,5.184577822,-0.57447799,-0.897365574,5.118292809,-0.619588725,-1.202356887
